Amargadhi,Dadeldhura,7,73,2
Baglung,Baglung,4,46,1
Banepa,Kavrepalanchok,3,31,4
Bhadrapur,Jhapa,1,11,14
Bhaktapur,Bhaktapur,3,29,2
Bharatpur,Chitawan,3,35,4
Bhimdatta,Kanchanpur,7,77,4
Bhimeshwor,Dolakha,3,23,9
Bidur,Nuwakot,3,27,4
Biratnagar,Morang,1,12,14
Birendranagar,Surkhet,6,68,6
Birgunj,Parsa,2,22,7
Butwal,Rupandehi,5,54,2
Byas,Tanahu,4,42,2
Damak,Jhapa,1,11,7
Dasharathchand,Baitadi,7,72,5
Dhangadhi,Kailali,7,76,13
Dhankuta,Dhankuta,1,7,4
Dharan,Sunsari,1,13,1
Dhulikhel,Kavrepalanchok,3,31,5
Dipayal,Doti,7,74,5
Gaur,Rautahat,2,20,17
Ghorahi,Dang,5,56,2
Gorkha,Gorkha,4,36,9
Gulariya,Bardiya,5,58,7
Hetauda,Makwanpur,3,34,6
Illam,Ilam,1,10,3
Inaruwa,Sunsari,1,13,9
Itahari,Sunsari,1,13,6
Jaleshwor,Mahottari,2,18,15
Janakpur,Dhanusa,2,17,15
Kalaiya,Bara,2,21,8
Kamalamai,Sindhuli,3,33,5
Kapilbastu,Kapilbastu,5,55,7
Kathmandu,Kathmandu,3,28,8
Khandabari,Sankhuwasabha,1,2,6
Kirtipur,Kathmandu,3,28,9
Lahan,Siraha,2,16,1
Lalitpur,Lalitpur,3,30,2
Lekhnath,Kaski,4,40,4
Madhyapur,Bhaktapur,3,29,3
Malangawa,Sarlahi,2,19,20
Mechinagar,Jhapa,1,11,1
Narayan,Dailekh,6,64,8
Nepalganj,Banke,5,57,6
Panauti,Kavrepalanchok,3,31,9
Pokhara,Kaski,4,40,4
Putalibazar,Syangja,4,44,1
Rajbiraj,Saptari,2,15,13
Ramgram,Nawalparasi (Bardaghat Susta West),5,53,3
Ratnanagar,Chitawan,3,35,5
Siddharthanagar,Rupandehi,5,54,11
Siraha,Siraha,2,16,17
Tansen,Palpa,5,52,5
Tikapur,Kailali,7,76,10
Triyuga,Udayapur,1,14,3
Tulsipur,Dang,5,56,3
Walling,Syangja,4,44,9
Aanbu Khaireni,Tanahu,4,42,10
Api,Darchula,7,71,5
Atariya,Kailali,7,76,3
Banganga,Kapilbastu,5,55,1
Badimalika,Bajura,7,69,6
Bagachour,Salyan,6,67,5
Bandipur,Tanahu,4,42,9
Bansgadhi,Bardiya,5,58,1
Bardibas,Mahottari,2,18,1
Belouri,Kanchanpur,7,77,8
Belbari,Morang,1,12,5
Beni,Myagdi,4,39,6
Bensishahar,Lamjung,4,41,5
Bhajani,Kailali,7,76,11
Bheriganga,Surkhet,6,68,5
Bhojpur,Bhojpur,1,6,4
Birtamod,Jhapa,1,11,12
Chandrapur,Rautahat,2,20,1
Choutara,Sindhupalchok,3,24,7
Devdaha,Rupandehi,5,54,1
Duhabi,Sunsari,1,13,7
Dullu,Dailekh,6,64,7
Gaidakot,Nawalparasi (Bardaghat Susta East),4,43,1
Ganeshman,Dhanusa,2,17,1
Ghodaghodi,Kailali,7,76,5
Golbazar,Siraha,2,16,3
Ishworpur,Sarlahi,2,19,6
Jayaprithbi,Bajhang,7,70,6
Kamal bazar,Achham,7,75,8
Kanchanrup,Saptari,2,15,2
Kankai,Jhapa,1,11,4
Katari,Udayapur,1,14,7
Kolhabi,Bara,2,21,2
Kushma,Parbat,4,45,3
Lamahi,Dang,5,56,7
Lamki Chuha,Kailali,7,76,7
Liwang,Rolpa,5,48,7
Madhya Bindu,Nawalparasi (Bardaghat Susta East),4,43,7
Mangalsen,Achham,7,75,6
Manthali,Ramechhap,3,32,5
Mirchaiya,Siraha,2,16,4
Musikot,Rukum (West),6,66,4
Nijagadh,Bara,2,21,1
Pakhribas,Dhankuta,1,7,2
Palungtar,Gorkha,4,36,8
Parashuram,Dadeldhura,7,73,5
Patan,Baitadi,7,72,9
Pyuthan,Pyuthan,5,49,4
Rajapur,Bardiya,5,58,5
Ramechhap,Ramechhap,3,32,4
Rangeli,Morang,1,12,11
Rapti,Chitawan,3,35,1
Resunga,Gulmi,5,50,9
Sainamaina,Rupandehi,5,54,3
Sanoshree,Bardiya,5,58,6
Sanphebagar,Achham,7,75,4
Shani,Jhapa,1,11,3
Sharada,Salyan,6,67,7
Shivaraj,Kapilbastu,5,55,3
Suvaghat,Surkhet,6,68,4
